RA	DEC	MAG
9.70310992	-25.10776606	6.55
9.70521269	59.82616136	6.73
9.79119583	49.35459528	5.56
9.79683421	-57.96778762	6.91
9.83165567	30.86122579	3.43
9.84206107	21.25137390	6.03
9.90895997	-85.70084431	6.97
9.93184864	-11.15047993	6.93
9.94897859	82.49357470	6.50
9.96631161	-44.79633326	6.17
9.98147468	21.43856440	5.55
9.98996521	-33.96118617	6.79
9.99780503	76.87117021	6.90
10.10273354	-59.45568115	6.02
10.11898738	-16.51659767	6.65
10.12661349	56.53740928	2.41
10.13501584	-23.80399309	6.28
10.13886688	-29.42087891	6.91
10.17658814	-4.35180551	6.07
10.27998074	39.45867141	5.46
10.29977784	9.35530818	6.64
10.30310097	52.19773368	6.78
10.33156671	-46.08500934	4.76
10.39362990	-25.19645782	6.71
10.39989696	24.62906534	6.14
10.44292464	-56.50145475	5.77
10.51431560	66.14761311	6.00
10.51618425	50.51254151	4.77
10.56045187	-11.80479985	6.93
10.61790472	-65.46813002	5.49
10.62920567	58.75343124	6.19
10.65830916	52.33716162	6.97
10.67349903	-60.26268184	6.15
10.67870812	-38.46346745	6.05
10.71149682	-9.92163939	6.75
10.71987702	16.66266875	6.72
10.83851683	-57.46309763	4.37
10.86704470	47.02463657	5.01
10.89678452	-17.98668410	2.21
10.95870230	-12.01130744	6.18
10.96776657	33.31068398	6.99
11.01252779	70.82348009	6.91
11.04752272	-10.60927365	4.93
11.04964742	-38.42197898	6.07
11.05984552	-49.38589162	6.91
11.10927611	47.86396300	5.62
11.13134786	-62.49760602	6.17
11.14728037	-78.08217284	6.78
11.16268466	-65.64771794	6.68
11.18125882	48.28438262	4.46
11.18515547	-22.00633247	5.30
11.23801546	-42.67632489	6.01
11.24883557	-53.71490037	6.27
11.26000044	62.52860937	6.78
11.32168124	55.22140870	5.43
11.35043331	-4.62925140	6.24
11.36961318	-12.88030968	6.28
11.41296370	74.98812620	5.68
11.42375052	-16.42420509	6.56
11.43930832	-47.55217573	5.93
11.54499561	44.86150820	6.02
11.54845521	-22.52206718	5.66
11.56267867	55.30539128	6.57
11.63740001	15.47561194	5.38
11.65537200	-30.19092869	6.97
11.65929285	69.32537127	6.49
11.67694190	59.57454122	6.56
11.75594336	11.97393464	5.67
11.80650093	19.57868622	6.18
11.83495908	24.26737703	4.25
11.84843074	6.74098135	6.14
11.93000731	-18.06142264	5.86
11.94174879	74.84758739	5.41
11.97803517	20.92531069	6.62
11.99596032	51.44478211	6.86
12.00437854	-21.72247464	5.56
12.03698124	72.67445774	6.03
12.07226858	7.29991977	6.09
12.09388786	5.28338873	5.88
12.14632729	-74.92335356	5.23
12.17039736	7.58520186	4.56
12.17124200	52.10084310	6.98
12.17172583	-28.49529780	6.86
12.20830552	50.96819154	4.87
12.23640318	-46.69769826	6.44
12.24462380	16.94113370	5.18
12.27125262	57.81654770	3.58
12.30791020	-24.13652681	6.06
12.35647376	-13.56101709	5.75
12.38932382	-23.36210931	6.33
12.40522789	47.76398890	6.73
12.45345723	41.07895474	4.49
12.47128657	27.71031105	5.65
12.47892003	-0.22411718	6.79
12.50936195	70.77417543	6.88
12.51565121	-43.39494468	6.57
12.53218487	-10.64377045	5.28
12.57589036	45.00224079	6.15
12.67136689	-50.98692422	5.32
12.68155194	64.24758084	5.47
12.71847773	-71.15152645	6.96
12.73351291	77.95356004	6.83
12.73860936	51.50803371	6.45
