RA	DEC	MAG	DIST	B-V
185.64236941	27.60478283	10.96	31.04	1.473
185.68615139	-39.17732244	6.84	25.63	0.639
185.75439425	64.02991823	11.62	18.02	1.610
185.83487665	-35.05102287	12.13	49.55	1.415
185.86291935	20.29103476	10.15	44.82	1.070
185.86784323	-23.16140052	10.88	44.11	1.527
185.88679784	67.18861012	11.30	12.99	0.000
185.89501684	27.91294709	11.40	33.31	1.474
185.92825146	-30.77653384	9.56	41.07	0.840
185.97303737	12.58066308	10.47	21.23	1.442
186.04230935	-57.91821352	7.87	49.88	0.557
186.04994791	3.93097120	10.72	46.82	1.577
186.16420272	5.03551648	8.10	47.69	0.578
186.19302339	38.31858319	8.16	37.12	0.585
186.19921837	-75.05261736	10.65	24.17	1.020
186.21595803	-18.23667929	11.33	8.89	1.574
186.27068676	60.69736907	7.50	42.48	0.569
186.32342553	-65.76961193	6.45	47.92	0.965
186.32811968	31.86483392	8.87	28.87	0.897
186.34627317	37.72475469	11.72	41.51	0.000
186.39599310	21.83271632	10.18	41.55	1.130
186.43143629	-25.76779809	10.22	49.65	0.970
186.44379342	-64.02194007	7.11	38.57	0.537
186.46340545	-1.11040161	10.37	38.40	1.202
186.47277723	62.18209941	9.79	44.15	0.924
186.49438392	8.06249896	10.47	39.87	1.254
186.59185820	35.93301035	11.72	32.12	2.800
186.62428954	54.55648535	10.53	38.26	0.979
186.70296553	-48.91299818	6.38	26.67	0.674
186.80689476	27.02528454	8.38	27.53	1.042
186.83197943	75.40353459	10.65	41.68	1.200
186.87326817	37.44236075	12.23	27.17	0.700
186.95302851	-50.33691778	8.85	36.47	0.872
186.98176410	-8.67790512	6.88	29.06	0.584
187.01122571	-68.73221923	7.53	48.71	0.467
187.01760480	-15.65178946	8.46	46.15	0.710
187.01914318	44.79432132	7.55	39.20	0.580
187.02061250	44.79180427	8.12	42.35	0.680
187.06995967	-61.76532283	6.95	48.57	0.670
187.08108690	-16.91115889	9.58	28.33	0.964
187.13120324	-18.29685881	9.36	24.94	1.218
187.14099776	-56.40726625	6.30	42.23	0.920
187.24149764	8.42614568	12.02	13.56	1.668
187.32884155	-30.83982927	9.19	38.97	0.784
187.41685606	-0.16219732	11.50	49.38	1.029
187.46659650	-16.51509397	2.94	26.95	-0.012
187.47891094	36.44537349	12.06	23.03	0.800
187.51293210	51.53556985	6.33	45.15	0.536
187.52054829	-13.39305238	6.48	24.98	0.591
187.57347592	30.99416027	9.22	31.85	1.015
187.66152668	20.36965894	11.02	44.40	1.570
187.67539834	50.97499729	8.06	47.57	0.697
187.70882191	53.07616553	6.33	21.94	0.568
187.75304414	31.42376982	7.44	43.99	0.534
187.79137202	-57.11256922	1.63	26.96	1.600
187.81741889	8.81187017	9.75	13.41	1.441
187.82520642	-43.38400072	9.93	38.40	1.130
187.82627565	20.21822902	8.05	25.24	0.863
187.82839037	55.11884464	8.23	23.74	0.941
188.01868646	-16.19586556	4.39	18.21	0.388
188.11453716	28.08491381	9.32	43.86	0.841
188.15036083	-13.85897407	5.83	36.95	0.376
188.18824482	-8.64894027	10.24	44.40	1.000
188.36087655	40.40417012	10.20	43.92	1.002
188.38367086	23.83511656	10.81	49.80	1.190
188.38442385	-68.75504919	7.28	16.17	0.836
188.39156877	72.47919638	7.62	48.01	0.571
188.39278750	-12.83032829	5.74	48.59	0.861
188.41771755	-54.92341796	9.51	37.38	0.940
188.43788561	41.35676779	4.37	8.37	0.588
188.45415638	-23.51546512	8.49	48.71	0.563
188.50019977	-14.63859695	9.23	25.57	1.103
188.59680864	-23.39662306	2.81	42.84	0.893
188.60859521	-46.50621124	9.92	33.16	1.118
188.67690229	-44.67251655	5.90	28.37	0.683
188.68557419	15.80774702	8.90	41.65	0.840
188.70372875	-41.23477160	8.96	31.34	0.898
188.72583111	-47.28858038	10.02	36.34	1.078
188.75404727	9.82926595	11.46	17.92	1.429
188.83231321	34.06841716	10.63	36.28	1.552
188.87410771	-61.84139792	6.36	46.34	0.731
188.89047766	-34.88159197	7.98	21.65	1.024
188.94006062	-41.02194744	5.19	34.58	0.224
188.95543238	-20.46580488	8.18	37.04	0.692
188.96326263	51.22148513	8.66	26.26	0.950
188.99373219	-45.93739996	11.16	18.09	1.482
189.02790798	-42.85215194	8.01	47.10	0.666
189.07219012	77.55204443	9.31	49.31	0.760
189.08437792	9.38470281	10.52	49.75	0.970
189.21260202	-76.95468544	11.07	35.97	1.306
189.27807435	-2.32174859	7.06	46.55	0.484
189.33175023	79.21544589	7.12	35.79	0.633
189.42594398	-27.13865883	5.49	34.59	0.334
189.42636588	-48.54128816	3.88	40.37	0.049
189.47165252	-52.00155006	10.68	9.66	1.470
189.68367687	-5.32740410	8.67	43.07	0.894
189.71949341	50.01720465	11.62	35.49	1.582
189.72137356	11.69676063	11.52	15.38	1.475
189.76820008	47.04002676	12.28	25.59	0.000
189.81078128	29.23599051	9.12	41.98	0.865
189.81580894	-32.72591770	9.04	46.17	0.893
189.82218390	54.45774926	11.13	46.13	0.982
189.91304609	-37.28628660	9.18	46.23	1.053
189.97286016	-77.84412853	9.18	26.87	1.154
189.98328549	-8.57799673	11.54	38.43	1.412
190.01737051	68.80236893	8.01	44.94	0.610
190.02880146	20.81001158	9.09	48.05	0.816
190.19114812	-33.37154480	10.51	28.84	1.299
190.19549326	-43.56806218	12.28	7.66	1.750
190.27670276	15.37756957	8.04	14.30	1.109
190.30219264	-47.66005419	9.49	45.79	0.882
190.38002079	-48.95988553	2.15	39.98	-0.023
190.40443319	19.85130353	9.23	34.67	0.940
190.41667557	-1.44952231	2.82	11.83	0.368
190.43497984	55.72468476	8.42	23.22	0.955
190.44561487	43.04118771	11.92	37.23	1.582
190.47086482	10.23584294	4.91	36.90	0.076
190.54476199	26.36081169	9.41	41.08	1.071
190.58245136	-39.93613967	8.58	36.43	0.715
190.66221605	2.57680480	8.18	30.57	0.795
190.73418368	-2.25123327	9.19	36.85	0.929
190.74772308	-4.04889355	7.96	46.49	0.675
190.92994488	-37.70763748	7.66	26.34	0.664
190.96805713	-32.05091345	9.60	47.62	0.819
190.97756876	34.34395123	8.92	43.67	0.839
191.06209348	51.75974874	7.16	15.06	0.936
191.09316691	-3.00144534	10.78	46.47	1.278
191.12177074	58.69086299	8.14	45.25	0.662
191.15341249	33.34581307	12.51	38.87	2.100
191.24865101	39.27857766	6.07	17.37	0.557
191.31096071	-57.35768284	7.96	20.12	0.937
191.40798434	-60.98116057	4.85	38.21	1.049
191.42851251	-50.17966062	7.23	49.14	0.445
191.50412361	-9.31288128	8.18	46.69	0.654
191.59324849	9.54078962	5.81	44.72	0.989
191.60939187	-57.95048088	8.92	29.57	1.096
191.62921655	-11.81257452	7.02	30.50	0.695
191.63654937	24.14557627	6.95	43.52	0.540
191.75683366	46.62666333	11.82	20.04	0.000
191.79002178	-49.47230003	12.71	25.33	0.000
191.82970240	-66.23747409	8.66	35.96	0.798
191.83374120	31.21420625	9.94	29.25	1.274
191.98842235	9.75251785	11.38	8.21	1.563
191.99447488	22.94162497	11.39	41.43	1.567
192.04248374	-24.80499362	10.01	18.77	1.380
192.04544948	-24.80701330	9.00	19.88	1.149
192.13441477	-15.71958151	8.03	21.19	0.946
192.16390269	60.31989667	5.94	24.16	0.467
192.19693108	24.84048369	6.43	17.17	0.703
192.20751772	61.37814013	7.49	37.99	0.633
192.21545908	-68.42542528	7.73	28.88	0.701
192.21784272	12.09671263	7.23	36.22	0.660
192.26409622	66.11044073	10.90	10.19	1.626
192.43697841	1.18960395	8.26	33.20	0.686
192.52204376	-7.63222915	7.08	48.45	0.432
192.55203831	-17.38276418	10.78	39.87	1.265
192.67475972	20.53480866	9.36	36.26	1.020
192.68160072	-0.76716459	8.56	10.78	1.409
192.83310262	28.85796807	9.25	45.98	0.840
192.84611073	-48.10252092	9.58	49.43	0.841
192.91041943	25.50892211	9.24	37.68	0.889
192.94670254	22.54429535	10.60	43.12	1.326
193.00942044	25.45671376	10.02	39.78	1.182
193.05154956	-56.57390804	8.62	45.27	0.616
193.20299554	33.73757649	9.57	35.61	1.080
193.26258703	16.85135574	10.30	33.61	1.110
193.29712947	-3.55308979	6.22	32.52	0.493
193.35894159	-40.17881857	4.32	47.55	0.224
193.38416881	19.48149121	6.58	44.03	0.805
193.42455121	-13.64507188	8.67	49.29	0.658
193.42784060	-27.40419309	7.80	47.85	0.520
193.47723043	6.76267282	8.39	26.23	0.853
193.49471435	-18.03500059	8.90	20.80	0.497
193.50680410	55.95984301	1.75	24.81	-0.022
193.56831854	-25.53443222	10.02	48.61	0.915
193.66659563	22.10801238	7.10	34.26	0.576
193.73408633	-6.33817645	10.54	41.53	1.186
193.74460949	-44.15140639	6.01	39.73	0.633
193.78446588	27.76653616	7.94	41.95	0.665
193.86897970	65.43854743	5.31	28.84	0.303
194.00251587	38.31469771	6.20	25.03	0.337
194.00767051	38.31824617	2.85	33.78	-0.115
194.12511776	-24.92494587	10.16	30.50	1.233
194.16324506	36.86589248	10.19	40.02	1.060
194.41853629	35.22541982	10.68	18.09	1.423
194.43402980	-14.46356844	9.25	23.19	1.118
194.63361514	38.27887228	8.81	44.44	0.738
194.64623286	38.28022826	9.42	38.11	0.852
194.70728324	68.78464293	8.20	34.40	0.676
194.72916307	-55.67261528	9.90	33.01	1.221
194.75855022	-9.83456221	7.69	21.01	0.769
194.82917337	6.50937754	10.28	22.13	0.515
194.88710181	-38.22004493	9.54	44.13	1.104
194.88736041	41.98632389	8.74	24.18	0.940
194.93958650	-4.43021158	8.84	40.54	0.779
194.94789588	-6.86039658	11.97	33.05	1.354
195.07277382	-2.70480346	9.89	25.83	1.185
195.10766961	-34.60693447	10.71	20.02	0.000
195.13628763	-33.50509249	6.10	40.03	0.386
195.16190005	18.37286539	6.30	40.83	0.466
195.18160731	56.36633134	5.01	24.96	0.368
195.19111035	42.21221445	11.37	41.44	1.577
195.19563143	12.37576387	9.76	11.43	1.448
195.20848324	-35.37165958	11.39	30.14	0.000
195.27796498	-33.48002915	7.68	44.56	0.569
195.33396963	-63.19405194	11.02	16.82	1.490
195.44646690	63.61016308	6.11	37.43	0.427
195.54483557	10.95910186	3.00	31.35	0.934
195.56573968	-71.54879865	3.77	27.85	1.190
195.58664003	-26.78661820	8.47	17.58	1.216
195.63996681	32.43313939	7.64	31.39	0.655
195.68553768	-55.67981073	9.84	45.77	0.000
195.71478995	-2.67404734	11.65	44.82	0.000
195.94177817	-20.58350964	5.69	28.66	0.554
195.95736099	-5.16127868	7.83	22.12	0.847
196.03328046	44.12118809	9.07	31.64	1.050
196.03421827	87.11499041	8.94	24.32	1.102
196.18384343	-62.25761448	11.51	34.15	1.440
196.19488501	55.90272477	10.79	31.81	1.577
196.24261916	-52.44099000	9.16	15.71	1.362
196.32054609	-50.85660616	8.46	45.23	0.678
196.37541923	37.13677988	11.72	23.16	1.637
196.42229676	49.47159535	9.38	21.89	1.168
196.44284552	-18.82582508	8.51	45.50	0.692
196.56428657	20.72899678	9.51	18.59	1.290
196.58867941	21.15351000	6.08	49.93	0.393
196.64665813	-49.68579439	8.62	32.68	0.813
196.73530256	-34.12173307	7.41	48.40	0.469
196.89648916	34.40167641	9.43	23.87	1.178
196.91614560	24.00945288	8.28	36.63	0.689
196.91954487	-50.35086491	8.89	44.29	0.746
196.92043059	24.01957388	8.68	38.24	0.770
196.97254845	62.98310697	8.63	48.19	0.634
197.01195059	-77.30981360	8.90	42.19	1.035
197.08586661	-87.21951279	8.34	36.90	0.721
197.10337951	16.97198984	11.84	25.56	1.575
197.16056292	29.38340561	8.69	48.95	0.606
197.21239048	5.20886950	6.92	26.27	0.667
197.30666280	-68.09275374	10.65	29.46	0.879
197.31833376	58.57582793	9.95	41.95	1.099
197.42690374	-22.19177270	7.50	27.16	0.718
197.49812263	17.52911621	4.43	14.32	0.455
197.57027392	9.53646613	9.45	27.88	1.022
197.59072235	67.49486859	9.03	33.64	0.923
197.66634006	-35.05399258	8.87	28.04	0.982
197.69504304	-24.17917086	8.00	36.87	0.756
197.96408969	-69.94201974	6.01	44.11	0.415
197.97051117	27.87603769	4.36	9.15	0.572
198.01444495	-37.80313606	4.98	20.48	0.693
198.01451923	-16.19790340	5.13	32.55	0.460
198.08374652	17.51712793	7.41	40.57	0.525
198.08779077	-23.33548231	9.91	37.38	1.031
198.12113717	-60.19379126	9.64	29.51	1.040
198.12665542	-34.75396543	9.89	46.95	0.748
198.18277753	-2.26506302	7.72	20.43	0.930
198.18498477	-31.87259921	6.81	35.00	0.591
198.22684745	-30.71212756	8.19	26.70	0.923
198.23211260	-59.81634245	6.32	39.81	0.592
198.30592621	-5.02343833	8.42	49.43	0.735
198.40370674	56.70831399	6.94	25.69	0.603
198.46798635	-45.18553071	7.05	24.47	0.643
198.53914287	-16.55838608	8.32	46.00	0.817
198.54570701	-19.93133468	5.47	38.62	0.862
198.56428372	-59.10285946	5.01	18.02	0.489
198.60809183	59.07184701	11.31	39.94	1.400
198.73271773	-11.36870113	7.16	38.74	0.683
198.87285290	-87.56030424	7.25	24.68	0.710
198.87809348	-8.05530078	8.20	44.05	0.705
198.93082038	11.89625690	9.46	45.91	0.865
198.99409266	-19.94282246	5.37	38.94	1.011
198.99692724	4.64674522	8.52	48.59	0.616
199.04607423	35.88628889	8.42	44.66	0.640
199.06309691	7.62575605	9.55	29.59	0.645
199.08279336	27.73529151	8.38	44.07	0.717
199.09117040	-33.79545330	11.89	37.69	1.397
199.09149458	29.09898520	12.67	31.99	-0.115
199.18769159	-65.13812590	6.16	38.85	0.431
199.19463902	9.42369300	5.31	17.95	0.585
199.21111349	17.01781641	6.63	11.23	0.926
199.22345516	-34.59839183	8.18	44.11	0.740
199.42454329	84.71566131	9.83	46.06	0.872
199.45369259	45.58512947	8.83	38.73	0.817
199.49353344	36.29995254	11.34	21.62	1.356
199.52530963	-14.77943914	10.98	27.75	1.344
199.60405000	-18.30861062	4.87	8.53	0.709
199.65152808	-57.45426907	9.58	40.75	0.907
199.73022240	-23.17141246	3.15	40.50	0.920
199.73786887	-3.07136216	10.90	35.88	1.009
199.77865149	2.90356362	7.83	33.82	0.671
199.88881477	35.11204745	9.56	13.16	1.470
199.89345734	35.10894812	11.90	18.02	1.470
199.91805903	33.34687596	10.65	17.39	1.469
199.93990390	47.77807170	8.55	10.37	1.469
199.96369673	-70.85494655	7.57	43.38	0.742
200.10360789	-1.65689717	11.65	20.76	1.510
200.11303900	43.11138103	8.26	34.39	0.817
200.12586392	-66.53348360	8.67	45.72	0.667
200.15027321	-36.71208109	2.77	17.97	0.068
200.16374374	-14.77237772	8.50	41.05	0.645
200.18319279	10.87636434	11.70	39.32	1.490
200.18363162	4.13245654	8.74	30.46	0.939
200.20947978	9.93321077	10.03	38.14	1.140
200.21303444	43.99011862	6.61	48.54	0.424
200.24044732	34.27966699	10.67	16.10	1.512
200.30146013	61.08471334	8.62	39.54	0.760
200.64215108	-22.95204586	8.48	36.70	0.667
200.75610475	-81.30975325	8.02	34.09	0.667
200.84648954	57.90615850	9.81	25.10	1.262
200.88790539	29.23688593	8.96	18.53	1.321
200.91311092	2.72284228	7.21	16.02	0.780
200.92017388	2.72478537	7.51	16.79	0.869
200.93596493	-14.04501726	11.87	35.01	1.362
200.93644026	19.09124166	7.98	48.57	0.576
200.97238741	11.23219353	11.30	37.88	1.400
200.98091604	54.92541525	2.25	23.96	0.057
201.00086151	-52.89052156	12.54	47.96	0.000
201.13806845	-5.16392212	5.86	30.09	0.415
201.16127341	83.30829016	7.39	46.25	0.700
201.28370521	38.92255054	10.17	39.23	1.020
201.30589832	54.98799884	4.05	24.88	0.169
201.30889897	-64.48509219	5.41	39.29	0.411
201.32249297	42.69947919	9.46	48.69	0.777
201.36868770	37.71928574	11.22	36.47	1.392
201.44068669	56.97046608	7.43	21.85	0.804
201.45050764	44.49397128	8.40	49.02	0.721
201.45477509	-28.37373355	11.08	16.26	1.522
201.50153032	63.26073879	6.64	21.34	0.739
201.66571598	-24.29319925	8.94	30.35	0.920
201.76299862	-24.29029460	8.87	29.09	0.911
201.82541633	-39.95236710	9.79	46.95	0.936
201.84531549	12.04574988	11.48	39.25	1.330
201.85438455	-21.65529304	10.06	36.46	1.092
201.86406148	35.72696301	8.90	27.57	0.999
201.97539393	-26.95014730	11.83	20.82	1.515
201.98476602	-28.28764661	10.31	37.24	1.210
202.07452188	30.04656178	11.22	48.22	1.577
202.07740683	-0.83920302	7.57	45.89	0.651
202.08746000	-2.35910065	11.21	14.16	1.539
202.10812668	13.78018777	5.10	18.11	0.714
202.12792554	-27.39236296	7.32	35.69	0.583
202.13679351	-23.09816992	11.94	45.96	0.000
202.26411251	42.23830625	7.77	40.00	0.594
202.33858618	-35.57082252	7.40	33.01	0.724
202.49632115	10.37977331	9.10	7.63	1.493
202.55955416	-8.57370307	12.39	18.02	0.026
202.65178786	-42.63068378	9.67	30.93	1.286
202.72078963	-32.62931409	11.58	35.89	1.350
202.75226539	36.44107119	9.81	40.97	1.030
202.75556198	42.98349373	9.77	41.56	0.902
202.84331243	-18.06670023	10.03	41.29	1.070
202.87014948	-8.00706955	9.01	46.71	0.721
202.89088869	58.95286729	8.20	45.07	0.585
202.91848492	-2.31804600	7.46	30.91	0.781
202.99308550	31.13456110	10.50	31.20	1.486
203.06767787	-47.41835564	9.31	40.31	0.889
203.10639192	-47.27105993	7.30	38.02	0.603
203.14383052	-29.56528224	6.55	47.24	0.438
203.17406307	22.50201918	9.80	46.40	1.030
203.17503409	75.00676966	10.37	35.87	1.286
203.18515210	16.81138664	11.39	13.76	1.540
203.28413151	43.25290099	9.50	32.77	1.080
203.29772734	-8.44346350	7.48	32.22	0.624
203.31106587	-77.56901864	6.63	35.15	0.455
203.33191005	-77.57321542	9.51	19.20	0.914
203.37290622	-43.42273414	6.76	39.15	0.469
203.38624617	8.58653437	8.12	18.47	1.026
203.46586742	-53.43178743	13.25	16.92	0.000
203.51424356	33.22760202	9.36	22.90	1.080
203.52322560	37.63775436	10.07	36.17	1.100
203.55496272	-47.24392404	8.58	44.76	0.649
203.56823695	-0.31383882	7.49	24.37	1.521
203.57953231	-36.52372051	9.56	34.52	1.025
203.58921648	4.66770016	10.03	20.50	1.385
203.60528272	-27.50625507	9.41	37.72	0.980
203.63464665	-38.90625631	7.42	30.23	0.669
203.67397800	-0.59593821	3.41	22.45	0.114
203.68072978	-8.34181579	9.36	19.79	1.210
203.69894294	37.18243871	5.02	44.52	0.404
203.70869094	47.37624944	10.35	44.23	1.165
203.72756103	74.50044906	9.90	44.90	1.290
203.77657554	6.84118286	9.04	32.51	1.075
203.79822754	22.49941820	7.02	43.88	0.466
203.84812475	62.90802274	9.61	43.52	1.059
203.86984415	46.55994457	10.98	41.63	1.039
203.88221758	-22.02446468	7.22	49.65	0.483
204.06157456	-0.93085852	7.17	49.38	0.531
204.23808802	7.76795937	10.11	31.73	1.067
204.30083723	-61.69157197	5.74	35.49	0.493
204.30798521	30.08716942	10.60	48.31	0.854
204.36891163	35.71790527	9.10	10.90	1.391
204.45063684	-35.06478118	7.33	33.58	0.689
204.45465114	-35.44906922	9.48	46.58	0.958
204.46429347	48.13841570	9.83	21.90	1.384
204.50884521	39.17844144	7.91	47.69	0.698
204.55743485	-23.68919964	8.33	48.61	0.652
204.67552479	-29.56067984	5.91	48.97	0.431
204.71321916	70.28551338	12.84	24.80	-0.112
204.74430485	-6.23635436	10.81	24.83	1.419
204.75731942	35.97189695	10.57	47.82	1.100
204.83291243	-67.67035714	7.10	32.94	0.618
204.85057431	46.18554364	10.30	13.26	1.368
204.90744018	-1.59473828	11.81	30.27	1.447
205.03065332	-4.18727591	9.68	14.53	1.376
205.03519277	-66.33946416	10.49	33.12	1.337
205.09728108	50.51927223	6.43	25.23	0.537
205.12352832	32.83590099	7.85	49.53	0.564
205.23497180	-54.81976225	8.60	43.57	0.646
205.26677306	-34.46375217	7.06	15.61	0.855
205.30592914	56.72700106	7.91	23.74	0.830
205.42792916	-62.17380800	9.29	42.34	0.921
205.44735636	21.48552417	10.98	37.78	1.330
205.48243094	-0.12809907	9.85	23.70	1.288
205.51528438	-48.46544417	9.29	46.32	0.780
205.55409628	8.38860602	6.26	35.77	0.418
205.60917973	-1.68589553	9.34	24.26	1.186
205.68061204	33.29182156	11.98	9.10	2.400
205.71093608	-21.71078542	10.21	34.22	1.237
205.84587262	39.24933115	9.36	27.57	1.101
205.92488189	-9.47533727	9.72	38.94	0.982
205.94471949	-35.40525775	11.91	27.21	1.440
206.04229593	4.87701324	11.53	47.48	1.310
206.05384471	-8.48829668	9.26	40.32	0.870
206.12391875	68.46385455	11.63	39.39	1.590
206.12394001	-16.85450125	9.35	45.23	0.876
206.18584081	-14.22476017	7.02	32.39	0.542
206.26001352	2.09210744	10.96	48.80	1.400
206.27001884	17.78989211	9.88	13.04	1.420
206.27264197	-4.62010875	10.63	25.66	1.344
206.30459790	55.88022143	6.58	33.62	0.486
206.31148455	8.83620856	8.64	21.00	1.051
206.32941879	68.99932500	8.08	44.11	0.552
206.34551271	11.47929652	8.44	45.17	0.657
206.36996550	-58.64514600	9.99	44.92	1.112
206.38084366	60.98252945	11.05	31.20	1.570
206.41633693	1.46264162	10.64	43.59	1.220
206.42319432	-33.04336606	4.32	19.26	0.390
206.42792982	14.89505746	8.50	5.43	1.435
206.46209637	-17.96688325	11.83	11.40	1.542
206.46272595	-12.16408552	12.03	39.94	1.424
206.55795304	30.89724773	6.62	44.92	0.491
206.57336652	-68.13877781	8.80	46.69	0.784
206.57340213	-30.47444307	8.34	48.36	0.612
206.58031193	-0.45799039	9.45	33.74	0.928
206.67536714	-56.84966245	8.78	36.02	0.856
206.73925975	6.35064241	6.46	30.62	0.630
206.81681937	17.45677436	4.59	15.60	0.508
206.83917715	-8.50252536	8.84	34.77	0.797
206.84852038	-6.13547638	10.39	42.52	1.002
206.87124457	6.31592692	10.13	29.94	1.201
206.88560880	49.31330288	1.80	30.87	-0.099
206.92542634	-32.42997584	8.25	16.37	1.322
206.92646584	21.46067943	11.18	27.93	1.510
207.04254025	-10.78873881	8.47	31.47	0.827
207.17429224	-37.12740177	6.83	46.10	0.434
207.23102215	-35.70373680	6.70	28.29	0.561
207.24280069	-1.59284811	8.61	39.87	0.730
207.26781460	26.98012928	7.14	13.65	1.110
207.36338145	-26.34958539	8.06	43.37	0.709
207.41386553	34.99119871	10.49	49.60	0.657
207.44128262	-22.10989071	8.29	14.19	1.257
207.46357016	14.88428356	8.28	43.74	0.594
207.49195913	15.36541789	10.25	47.08	1.020
207.75601036	23.76362602	13.21	13.12	0.000
207.76190966	23.76276704	9.90	47.76	1.020
207.77541133	-53.73483795	9.66	26.94	1.112
207.83625055	-24.38977243	6.57	19.92	0.703
207.84356291	26.32622110	11.14	47.64	1.370
207.91996891	-57.43465194	8.10	24.99	0.663
207.96119316	-78.21101878	9.71	40.67	1.030
207.99842411	49.95124696	8.93	14.01	1.317
208.15170971	-50.92160377	7.52	16.43	0.891
208.21178396	65.62251504	11.93	26.44	1.570
208.22350293	-18.33772485	11.86	24.28	1.496
208.27142792	27.80774150	8.51	28.58	0.815
208.30948996	-38.34974431	12.64	23.13	1.500
208.33299566	-30.77721184	12.18	37.04	1.467
208.36522264	12.94418695	9.85	20.86	1.369
208.44963262	78.85160984	10.67	24.24	1.421
208.54389869	10.24849146	9.14	48.95	0.729
208.61696153	20.64196507	8.03	33.11	0.687
208.67131750	18.39858742	2.80	11.34	0.580
208.68296147	-20.57892597	11.28	42.68	1.305
208.74293617	-8.05876407	6.29	33.82	0.530
208.76142092	-29.09028601	9.60	16.79	1.414
208.77935536	-8.62267109	10.47	48.59	1.091
208.83852359	-76.27065822	8.48	26.67	0.913
208.95903560	14.05648068	6.28	24.22	0.518
209.07486196	66.94459520	8.59	44.40	0.770
209.13744030	-54.70411568	6.14	38.11	0.780
209.15219543	-10.03387630	7.80	48.95	0.541
209.18823945	-7.31100879	9.58	38.82	0.953
209.22920557	44.28251174	7.78	44.50	0.612
209.31811449	23.36270558	8.67	38.21	0.820
209.32291295	-56.03983839	7.67	44.37	0.593
209.32626832	6.98228569	10.13	46.88	0.880
209.38373744	61.49233530	6.63	10.10	1.040
209.65429453	-34.00055067	8.29	36.42	0.686
209.83127021	22.86971986	9.18	23.83	1.160
209.84119967	25.24003341	10.84	41.27	1.447
209.86521390	-5.42337680	7.50	48.12	0.493
209.93988331	-26.64444488	10.60	47.69	0.995
210.04646287	44.81129351	10.38	29.28	1.297
210.15048079	-26.26603193	6.84	43.86	0.473
210.18896252	18.09853509	10.39	36.95	1.577
210.23961621	-31.79744842	11.13	31.84	1.404
210.26529157	-2.65632082	9.76	10.18	1.461
210.49451451	15.49478862	10.71	26.82	1.424
210.49969624	-21.13311660	9.64	48.52	0.926
210.58152170	13.68997829	10.71	19.53	1.559
210.63209478	31.66083402	7.28	37.22	0.563
210.71708379	-13.62561220	10.85	49.78	0.876
210.73708244	14.97533537	7.26	26.12	0.740
210.75710980	-31.68419597	6.29	38.27	0.480
210.88458683	10.78751797	6.41	16.60	0.733
210.90598356	-10.60396655	11.55	43.38	1.300
211.04197903	20.75917058	10.31	38.80	1.070
211.04728240	37.36939779	8.77	49.16	0.741
211.07775814	40.35022965	10.77	33.61	1.577
211.14028013	-39.90270107	10.01	35.89	1.086
211.18014458	4.77891258	8.65	43.54	0.673
211.19141977	25.81801332	7.06	43.52	0.484
211.21576106	58.86746059	7.71	47.76	0.635
211.23914425	74.57336150	8.33	43.78	0.590
211.29480149	-9.04849338	8.20	48.50	0.612
211.38190211	-36.54887638	9.59	48.29	0.307
211.57438740	3.23569859	10.40	44.25	1.177
211.59278733	-26.68201883	3.42	31.08	1.091
211.60165070	-16.21258768	10.17	43.84	1.023
211.67218608	-36.36869575	2.22	18.68	1.011
211.67299713	-5.51811053	8.50	38.26	0.827
211.92316233	-49.86786612	6.58	40.42	0.660
211.96700005	19.96589528	11.26	41.22	1.447
212.05092982	80.59859737	10.41	16.56	1.379
212.08999978	-52.28741299	9.63	34.73	0.941
212.11544595	-74.85072342	6.14	28.68	0.581
212.20921779	4.54098479	11.20	42.74	1.147
212.25659487	-51.93738697	9.40	45.33	0.875
212.36453112	-30.92977310	11.92	37.75	1.500
212.51354194	-61.52020961	9.82	47.73	0.776
212.57330534	-44.98895584	8.44	48.80	0.690
212.59040865	-44.97855266	9.78	48.47	0.897
212.59978522	25.09182293	4.93	36.67	0.541
212.61216671	27.63270776	8.68	48.59	0.650
212.64376594	-28.44038115	11.35	47.57	1.250
212.74033121	-31.29063408	10.91	17.19	0.000
212.77298892	73.34732383	10.40	30.29	1.260
212.80332460	43.10648152	10.19	35.39	1.172
212.88032541	1.36232319	6.52	45.91	0.479
212.89297735	26.19540003	10.59	45.35	1.160
212.94302002	-12.61132994	8.07	23.07	0.865
213.11180064	67.58617881	8.66	38.62	0.840
213.17327530	23.81430703	9.03	32.66	0.960
213.18888983	-3.31930138	7.18	22.28	0.733
213.25422932	55.32542196	8.47	37.84	0.946
213.30206876	-56.74249371	10.27	11.76	1.500
213.37062458	51.78999066	4.57	47.55	0.233
213.37970418	-6.95931422	10.23	19.58	1.418
213.40461586	55.36983466	9.32	41.86	0.958
213.46435706	46.32514444	7.29	38.14	0.530
213.48894486	30.21676092	8.17	17.31	1.064
213.49880428	-20.20798229	8.20	48.12	0.561
213.52221581	12.95957667	5.65	33.27	0.537
213.58950988	-15.35562260	10.50	26.48	1.270
213.58953291	-5.94792042	6.49	41.51	0.593
213.59818899	41.51901546	6.40	44.64	1.071
213.60381501	-48.14634043	8.36	36.21	0.670
213.62812474	-61.79940836	11.73	15.46	0.000
213.67170105	16.01353119	8.71	35.57	0.837
213.83128126	3.13123545	7.15	42.63	0.570
213.91074870	-45.00042116	6.44	21.05	0.596
