RA	DEC	MAG	DIST	B-V
11.26559075	75.93802855	7.34	37.22	0.760
11.27051240	1.78691411	8.17	22.01	0.983
11.29502236	0.25340728	7.12	41.20	0.537
11.34030450	16.98439472	10.07	49.70	0.960
11.36692411	-51.62595150	12.04	38.51	1.480
11.36961318	-12.88030968	6.28	31.86	0.603
11.40727587	26.06675118	11.09	35.77	0.668
11.42468671	-48.30116131	8.01	38.62	0.677
11.43930832	-47.55217573	5.93	14.94	0.635
11.44840072	66.49284151	7.66	43.29	0.545
11.45019784	-41.90900883	8.00	16.02	1.251
11.46162953	54.97801339	7.75	48.64	0.517
11.60138400	3.78830509	10.87	38.85	0.000
11.64135157	14.32558918	10.06	46.49	0.814
11.65929285	69.32537127	6.49	40.57	0.424
11.66882280	-4.42640522	7.72	27.98	0.822
11.95185721	6.03199049	11.73	48.66	1.400
12.05511704	-5.13517778	12.15	25.70	1.506
12.09388786	5.28338873	5.88	7.46	0.890
12.24462380	16.94113370	5.18	23.92	0.502
12.25615885	-50.14439383	10.82	21.59	1.426
12.27125262	57.81654770	3.58	5.95	0.587
12.28823784	5.39519773	12.56	4.41	0.554
12.36015525	-23.21277388	7.30	18.84	0.769
12.44099553	70.44899713	7.89	21.52	0.900
12.45094373	-54.59336435	9.62	27.82	1.157
12.53218487	-10.64377045	5.28	15.46	0.514
12.61379631	59.50273074	10.29	46.86	0.909
12.63797991	24.81682158	12.15	12.02	0.000
12.71847773	-71.15152645	6.96	38.85	0.447
12.79456039	-5.03898875	7.11	22.09	0.663
12.84050486	18.73990110	9.34	21.88	1.194
12.86133373	-43.59065723	9.85	47.98	0.857
12.86707054	58.30104220	10.75	18.44	1.363
12.89013153	-22.90939545	9.06	15.20	1.290
12.89365663	-14.89000959	9.89	37.68	1.069
12.95657932	78.62577543	8.59	40.21	0.780
12.99979758	20.58313129	11.62	29.50	1.440
13.03892102	6.80306437	11.91	27.52	1.465
13.16671383	31.45946741	8.50	38.67	0.707
13.19559715	9.80358075	8.64	42.75	0.400
13.21592800	40.24544245	6.89	41.98	0.595
13.25298157	-30.35699137	7.30	14.08	0.936
13.26783051	61.12355735	4.91	18.57	0.540
13.34933515	-41.23799485	12.00	23.47	1.490
13.39519100	-22.20333385	9.06	47.28	0.722
13.41815926	43.36370529	7.32	44.62	0.622
13.47081918	45.94440000	11.21	26.21	1.435
13.74174956	23.62844595	5.62	38.93	1.012
13.74745006	24.10070725	7.54	29.48	0.652
13.74796307	-74.30263442	6.84	49.00	0.987
13.79943524	-16.97108089	8.08	49.41	0.991
